Ease of Use (1-5),Experience with Chatbot (1-5),Experience with Planning System (1-5),Effectiveness of Profile Matching (1-5),Helps Develop Relationships (1-5),"Better than Niche Planning (Yes, No)","Replace a Social Media App (Yes, No)","Increase Real-world Social Interactions (Yes, No)",Suggested Improvements,What You Like Most
5,4,4,4,5,Yes,Yes,No,More features,Ease of use
3,5,4,5,5,No,Yes,Yes,Faster,Friendly interface
5,5,5,3,5,Yes,Yes,Yes,Better UI,Efficient planning
5,5,4,5,5,Yes,Yes,Yes,More customization,Effective matching
4,4,4,4,5,Yes,No,Yes,More interactive,Encourages interaction
5,5,5,3,5,No,Yes,No,Less buggy,Modern design
5,5,5,5,4,No,Yes,Yes,Responsiveness,Variety of tools
5,5,4,3,4,Yes,Yes,Yes,More privacy,Really good Chat
5,5,5,5,5,Yes,No,Yes,Better support,Innovative features
5,5,4,3,4,Yes,Yes,No,Better scalability,Good color Choice
5,4,5,5,5,Yes,Yes,Yes,More features,Ease of use
5,5,5,4,5,Yes,Yes,No,Faster,Friendly branding 
5,5,5,5,4,No,Yes,Yes,Better UI,Efficient planning
5,4,5,5,4,No,No,No,More customization,Effective matching
4,5,5,4,5,No,No,Yes,More interactive,Free like visibility in matching
4,5,4,5,5,No,Yes,No,Less buggy,Modern design
4,4,4,5,5,Yes,Yes,Yes,More consistency,Variety of tools
5,4,4,5,5,Yes,Yes,Yes,More privacy,Great Toolkit
5,4,4,4,5,No,Yes,No,Better support availability,Innovative features
4,4,4,5,5,Yes,Yes,Yes,Missing Comments ,Good approach of the plans
5,5,4,4,5,Yes,Yes,Yes,More features,Ease of use
3,5,5,5,4,Yes,No,Yes,Faster,Friendly interface
5,5,4,5,5,Yes,Yes,Yes,Better Accessibility,Good planning system
5,4,5,4,5,Yes,Yes,Yes,More customization,Effective matching
4,4,5,5,5,No,Yes,Yes,More interactive,Encourages interaction
5,4,4,4,5,Yes,Yes,Yes,Less buggy,Modern design
4,5,5,5,4,Yes,No,Yes,Better Availability,Variety of tools
5,4,4,3,5,No,Yes,Yes,Better privacy,Suprisingly intelligent Chatbot
5,5,5,5,5,No,Yes,Yes,Better support,Innovative features
5,4,5,3,5,Yes,No,Yes,More Users,Lovely news feed
